"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @WorldwideCarats: [INFO] US/PR Carats, you can now pre-order Attacca via Seventeen US online store, Weverse US shop, Target, Amazon, &amp; B…",FALSE,0,NA,2021-09-26 01:40:10,FALSE,NA,"1441940627231498241",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Immael_16",119,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:40:07,FALSE,NA,"1441940617206984705",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MiltonBGomes",315,TRUE,FALSE,NA,NA
"RT @WSJ: CVS, Home Depot, Ulta and Target all have something in common. They’re struggling to keep up with organized crime rings stealing f…",FALSE,0,NA,2021-09-26 01:40:06,FALSE,NA,"1441940610542276608",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","NewsAlternative",5723,TRUE,FALSE,NA,NA
"RT @hecraveskay: I wanna go online shopping with someone else’s card",FALSE,0,NA,2021-09-26 01:39:32,FALSE,NA,"1441940469311688706",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Meknimmm",20623,TRUE,FALSE,NA,NA
"RT @_nasminn: Online shopping <U+0001F495><U+0001F60D><U+0001F970><U+0001F618>&gt;&gt;
Returning items <U+0001F92E><U+0001F62D><U+0001F922><U+0001F915>&lt;&lt;&lt;",FALSE,0,NA,2021-09-26 01:39:22,FALSE,NA,"1441940426450165760",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ririmusee",48,TRUE,FALSE,NA,NA
"#NintendoSwitchDeal #VideoGamesDeal 

See \"Nintendo Switch Lite Turquoise with Animal Crossing: New Horizons and Ni… https://t.co/jk7TGmcljV",FALSE,0,NA,2021-09-26 01:39:14,TRUE,NA,"1441940393570955267",NA,"<a href=\"https://twitter.com/amazondeals_ind\" rel=\"nofollow\">Amazon Offers Tweets</a>","AmazonDeals_IND",0,FALSE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:39:08,FALSE,NA,"1441940369587912708",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","M_ngel_",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:38:51,FALSE,NA,"1441940295587799041",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TheOneAngels",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:38:11,FALSE,NA,"1441940129682239492",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","dhighl5184",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:38:09,FALSE,NA,"1441940122572767240",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LLioness30",315,TRUE,FALSE,NA,NA
